id;sku;name;brand;type;category;summary;compatibleModels;serialNumberRequired;inquiryOnly;priceVisible;documentIds;relatedIds;requiredTogetherIds;notes
MCH-FUSION-4-PLUS;MCH-FUSION-4-PLUS;McHale Fusion 4 Plus;McHale;machine;Integrated Baler Wrapper;Täysautomaattinen integroitu paalain-käärin, jossa on film-on-film-sidonta.;Fusion 4 Plus;True;True;False;mchale-support|mchale-parts-books|mchale-operators-manuals|mchale-fusion4-range-brochure;DEMO-MCH-FUSION-KNIFE-SET|DEMO-MCH-FUSION-CHAIN-KIT|DEMO-MCH-FUSION-SENSOR-CHECK;;Sopivuus ja varaosat varmistetaan sarjanumerolla ennen tarjousta.|Demo-kohde: ei sisällä virallista varaosanumeroa.
MCH-FUSION-4-PRO;MCH-FUSION-4-PRO;McHale Fusion 4 Pro;McHale;machine;Integrated Baler Wrapper;Täysautomaattinen integroitu paalain-käärin ISOBUS-ohjauksella ja Pro-varustelulla.;Fusion 4 Pro;True;True;False;mchale-support|mchale-parts-books|mchale-operators-manuals|mchale-fusion4-range-brochure;DEMO-MCH-FUSION-KNIFE-SET|DEMO-MCH-FUSION-CHAIN-KIT|DEMO-MCH-FUSION-SENSOR-CHECK;;Sopivuus ja varaosat varmistetaan sarjanumerolla ennen tarjousta.
MCH-F5-560-PLUS;MCH-F5-560-PLUS;McHale F5-560 Plus;McHale;machine;Fixed Chamber Round Baler;Täysautomaattinen kiinteäkammioinen paalain 25-teräisellä silppurilla ja filmisidonnalla.;F5-560 Plus;True;True;False;mchale-support|mchale-parts-books|mchale-operators-manuals|mchale-f5-range-brochure;DEMO-MCH-F5-KNIFE-SET|DEMO-MCH-F5-GREASE-CHECK;;Kysy sopivuus sarjanumeron perusteella.
MCH-V6750-II;MCH-V6750-II;McHale V6750-II;McHale;machine;Variable Chamber Round Baler;15-teräinen muuttuvakammioinen pyöröpaalain.;V6750-II;True;True;False;mchale-support|mchale-parts-books|mchale-operators-manuals;DEMO-MCH-V6-BELT-CHECK|DEMO-MCH-FUSION-SENSOR-CHECK;;Sarjanumero on erityisen tärkeä, koska varaosamuutokset voivat riippua valmistuserästä.
DEMO-MCH-FUSION-KNIFE-SET;DEMO-MCH-FUSION-KNIFE-SET;Fusion-sarjan teräsarja, demo;McHale;part;Chopper Unit;Esimerkkituote teräsarjan tiedusteluun. Tarkka osa varmistetaan koneen mallilla ja sarjanumerolla.;Fusion 4|Fusion 4 Pro|Fusion 4 Plus;True;True;False;mchale-parts-books|mchale-operators-manuals|mchale-fusion4-range-brochure;DEMO-MCH-FUSION-KNIFE-BOLT-SET|DEMO-MCH-FUSION-SENSOR-CHECK;DEMO-MCH-FUSION-KNIFE-BOLT-SET;Teräsarjoissa kiinnitystarvikkeet kannattaa tarkistaa samalla.|Demo-tuote: vaihda Easoftista tulevaan oikeaan tuotenumeroon.
DEMO-MCH-FUSION-KNIFE-BOLT-SET;DEMO-MCH-FUSION-KNIFE-BOLT-SET;Terien kiinnitystarvikesarja, demo;McHale;part;Fasteners;Esimerkkituote terien vaihdon yhteydessä tarkistettaville kiinnitystarvikkeille.;Fusion 4|Fusion 4 Pro|Fusion 4 Plus;True;True;False;mchale-parts-books;DEMO-MCH-FUSION-KNIFE-SET;;Tarkista määrä ja malli varaosakirjasta sarjanumeron perusteella.
DEMO-MCH-FUSION-CHAIN-KIT;DEMO-MCH-FUSION-CHAIN-KIT;Fusion-sarjan ketju-/voimansiirtotarkistus, demo;McHale;part;Driveline;Esimerkkituote, joka ohjaa kysymään ketjujen, rattaiden ja kiristimien kokonaisuutta.;Fusion 4|Fusion 4 Pro|Fusion 4 Plus;True;True;False;mchale-parts-books|mchale-operators-manuals;DEMO-MCH-FUSION-GREASE-CHECK|DEMO-MCH-FUSION-SENSOR-CHECK;;Kokonaisuuteen voi kuulua useita osia. Kuva kuluneesta kohdasta auttaa tunnistuksessa.
DEMO-MCH-FUSION-GREASE-CHECK;DEMO-MCH-FUSION-GREASE-CHECK;Voitelujärjestelmän tarkistusosat, demo;McHale;part;Lubrication;Esimerkkituote automaattisen/progressiivisen voitelun osien tiedusteluun.;Fusion 4|Fusion 4 Pro|Fusion 4 Plus|F5-560|F5-560 Plus;True;True;False;mchale-parts-books|mchale-operators-manuals;DEMO-MCH-FUSION-CHAIN-KIT;;Oikea osa riippuu koneen voitelujärjestelmästä ja varustelusta.
DEMO-MCH-FUSION-SENSOR-CHECK;DEMO-MCH-FUSION-SENSOR-CHECK;Anturi- ja johdinsarjatarkistus, demo;McHale;part;Electronics;Esimerkkituote antureiden, johtosarjojen ja ohjainjärjestelmän osien tiedusteluun.;Fusion 4|Fusion 4 Pro|Fusion 4 Plus|V6750-II|F5-560 Plus;True;True;False;mchale-parts-books|mchale-isobus-help|mchale-operators-manuals;DEMO-MCH-FUSION-CHAIN-KIT;;Kuva vikakoodista, ohjaimen näkymästä tai rikkoutuneesta liittimestä nopeuttaa tunnistusta.
DEMO-MCH-F5-KNIFE-SET;DEMO-MCH-F5-KNIFE-SET;F5-sarjan silppuriterät, demo;McHale;part;Chopper Unit;Esimerkkituote F5-sarjan terien tiedusteluun.;F5-550|F5-560|F5-560 Plus;True;True;False;mchale-parts-books|mchale-f5-range-brochure;DEMO-MCH-FUSION-KNIFE-BOLT-SET|DEMO-MCH-F5-GREASE-CHECK;DEMO-MCH-FUSION-KNIFE-BOLT-SET;Tarkista terien määrä ja versio sarjanumeron perusteella.
